name,ProductDesc01,ABV,Brand,ItemNumber,Type,,SubBrand,,AltName03,AltName04,AltName05,AltName06,AltName07,ItemSize,ItemSizeUom,CasePackQty,CasePackUom,Container,,,ProductDesc02,ProductBullet01,ProductBullet02,ProductBullet03,ProductBullet04,ProductBullet05,SurgeonGeneralWarning,ProductDisclaimerSparkling,HasProp65Ingredient,Prop65 text,ProductPlaceOfOrigin,CountryOfOrigin,SellingUnitWidth,SellingUnitDepth,SellingUnitHeight,DimensionUom,SellingUnitWeight,WeightUom,StorageTemperature,ExpirationType,ShelfLifeDays
"Manischewitz Blackberry Kosher, Red Wine, 750 mL Bottle","The Manischewitz winery is located in Canandaigua, New York, and is best known for its budget concord wine. Aged in steel tanks at cold temperatures to maintain fruit aromas. This blackberry wine has the aromas and flavors of blackberry jam with just the right amount of sweetness. The crisp acidity balances the sweetness and up front fruit aromas. The natural fruitiness, allows this wine to be served chilled. Pairs well with roasted meats with fruit sauces, or paired with berry based desserts.",11,Manischewitz,901718,Wine,,,,"Manischewitz Blackberry Kosher, Red Wine, 750 mL bottle",Blackberry Kosher Wine 750mL,"Manischewitz Blackberry Kosher, Red Wine - 750mL Bottle",Blackberry Kosher Red Wine,Blackberry Kosher Red Wine,750,mL,1,,Bottle,,,Manischewitz Blackberry Kosher has the aromas and flavors of blackberry jam with sweetness that’s balanced by acidity. This red wine goes wonderfully with roasted meats or berry-based desserts.,Crisp acidity with balanced sweetness,Aromas and flavors of blackberry jam,"Goes wonderfully with roasted meats with fruit sauces, or berry based desserts",Aged in steel tanks at cold temperatures to maintain fruit aromas,Natural fruitiness allows this wine to be served chilled,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,United States,United States,3.13,3.13,10.31,Inches,2.91,Pounds,Ambient: Room Temperature,Shelf Life,730
"Manischewitz Concord Kosher, Red Wine, 750 mL Bottle","The Manischewitz winery is located in Canandaigua, New York, and is best known for its budget concord wine. It is aged in steel tanks at cold temperatures to maintain fruit aromas. A sweet wine with a pleasant mouth feel and a smooth aftertaste. A smooth fruity wine with plenty of grape flavor and a subtle aroma of confectionery flavors. The crisp acidity balances the sweetness and up front fruit aromas. The natural fruitiness allows this wine to be served chilled. Goes wonderfully with barbecued meats, and fruity desserts.",11,Manischewitz,901703,Wine,,,,"Manischewitz Concord Kosher, Red Wine, 750 mL bottle",Concord Kosher Wine 750mL,"Manischewitz Concord Kosher, Red Wine - 750mL Bottle",Concord Kosher Red Wine,Concord Kosher Red Wine,750,mL,1,,Bottle,,,Manischewitz Concord Kosher is smooth with plenty of grape flavors. The crisp acidity balances the sweetness and fruit aromas. This red wine goes wonderfully with barbecued meats and desserts.,Smooth fruity wine with plenty of grape flavor,Subtle aroma of confectionery flavors,"Goes wonderfully with barbecued meats, and fruity desserts",Aged in steel tanks at cold temperatures to maintain fruit aromas,Natural fruitiness allows this wine to be served chilled,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,United States,United States,3.13,3.13,10.31,Inches,2.91,Pounds,Ambient: Room Temperature,Shelf Life,730
"Meiomi Chardonnay, White Wine, 750 mL Bottle","To create the unrivaled taste of Meiomi, we grow our grapes in three sought after regions along the California coast —Monterey, Sonoma, and Santa Barbara counties. Fruit from all three exceptional maritime regions is blended to create a richly layered, well-balanced, and expressive wine. Meiomi Chardonnay has smooth pineapple and lemon peel aromas with honey and almonds. This white wine has full flavors, succulent acidity, and a mineral-driven finish. It pairs well with roasted chicken, fresh crab, soft cheeses, or creamy pasta. Best enjoyed chilled.",13.9,Meiomi,80031175,Wine,,,,"Meiomi Chardonnay, White Wine, 750 mL bottle",Chardonnay Wine 750mL,"Meiomi Chardonnay, White Wine - 750mL Bottle",Chardonnay White Wine,Chardonnay White Wine,750,mL,1,,Bottle,,,Meiomi Chardonnay is made from grapes grown in three sought after regions along the California coast. This white wine has aromas of lemon peel with honey and almonds resulting in full flavors.,Smooth pineapple and lemon peel aromas with honey and almonds,"Full flavors, succulent acidity, and a mineral-driven finish","Pairs well with roasted chicken, fresh crab, soft cheeses, or creamy pasta","Regions: Monterey, Sonoma and Santa Barbara",Best enjoyed chilled,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.25,3.25,11.88,Inches,3.42,Pounds,Ambient: Room Temperature,Shelf Life,1095
"Mark West Chardonnay, White Wine, 750 mL Bottle","Mark West Wines accepts nothing less than the best, which is why we source the fruit for our the wines is sourced from the finest vineyards throughout California. After harvest, the grapes were gently crushed and underwent two to three weeks of cool fermentation—that's what makes it fresh! The wine was aged in French oak. This chardonnay has citrus and pear aromas followed by lush peach, melon, green apple, and mineral flavors with a toasty oak finish. This white wine pairs best with grilled cheese with tomato soup, a cobb salad, grilled salmon, or really go for it with apple pie à la mode.",13.5,Mark West,80027105,Wine,,,,"Mark West Chardonnay, White Wine, 750 mL bottle",Chardonnay Wine 750mL,"Mark West Chardonnay, White Wine - 750mL Bottle",Chardonnay White Wine,Chardonnay White Wine,750,mL,1,,Bottle,,,"Mark West Chardonnay has citrus and pear aromas followed by lush peach, melon, green apple, and mineral flavors with a toasty oak finish. This white wine pairs with cobb salad or grilled salmon.",Citrus and pear aromas,"Lush peach, melon, green apple, and mineral flavors with a toasty oak finish","Pairs best with cobb salad, grilled salmon, apple pie a la mode",Sourced from the finest vineyards throughout California,Grapes undergo two to three weeks of cool fermentation,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.21,3.21,11.62,Inches,2.81,Pounds,Ambient: Room Temperature,Shelf Life,730
"Rex Goliath Chardonnay, White Wine, 1.5 L Bottle","At the turn of the 20th century, Rex Goliath, the “World’s Largest Rooster”, was the treasured attraction of a Texas circus. We honor Rex with our premium varietal wines. Mark Ferguson joined the team as a winemaker in 2011 and has added his expertise to every bottle ever since. He brings enthusiasm and comprehensive experience and works to continue the legacy of bold flavors and big personality for which the wines have become known. This wine is a true sun-kissed chardonnay with bold aromas of apple and pear, combined with the classic spices of Grandma's apple pie. We’ve added a splash of aromatic white varietals to provide layers of delicate floral notes coupled with bright citrus character. It's the ultimate food wine.",13,Rex Goliath,80022659,Wine,,,,"Rex Goliath Chardonnay, White Wine, 1.5 L bottle",Chardonnay Wine 1.5L,"Rex Goliath Chardonnay, White Wine - 1.5L Bottle",Chardonnay White Wine,Chardonnay White Wine,1.5,L,1,,Bottle,,,Rex Goliath Chardonnay has bold aromas of apple and pear. Splashed with the aromatic layers of delicate floral notes coupled with bright citrus character. This white wine is the ultimate food wine.,"Aromas of apple and pear, combined with the spices of apple pie",A splash of aromatic white varietals provides layers of delicate floral notes,The ultimate food wine,A legacy of bold flavors and big personality,"Rex Goliath, “World’s Largest Rooster”, was the attraction of a Texas circus","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.9,3.9,13.0,Inches,5.03,Pounds,Ambient: Room Temperature,Shelf Life,365
"Rex Goliath Pinot Noir, Red Wine, 1.5 L Bottle","At the turn of the 20th century, Rex Goliath, the “World’s Largest Rooster”, was the treasured attraction of a Texas circus. We honor Rex with our premium varietal wines. Mark Ferguson joined the team as a winemaker in 2011 and has added his expertise to every bottle ever since. He brings enthusiasm and comprehensive experience and works to continue the legacy of bold flavors and big personality for which the wines have become known. With true varietal flavors and an easy drinking, fruit-forward profile, this pinot noir reaches a fine balance between soft and subtle, complex and bold. It is the perfect wine for everyday drinking, and can be paired with a wide variety of foods.",12.5,Rex Goliath,80007083,Wine,,,,"Rex Goliath Pinot Noir, Red Wine, 1.5 L bottle",Pinot Noir Wine 1.5L,"Rex Goliath Pinot Noir, Red Wine - 1.5L Bottle",Pinot Noir Red Wine,Pinot Noir Red Wine,1.5,L,1,,Bottle,,,"Rex Goliath Pinot Noir has true varietal flavors, an easy drinking fruit-forward profile. A fine balance between soft, subtle, complex and bold. This red wine can be paired with a variety of foods.","True varietal flavors and an easy drinking, fruit-forward profile","A fine balance between soft and subtle, complex and bold",The perfect wine for everyday; pair with a wide variety of foods,A legacy of bold flavors and big personality,"Rex Goliath, “World’s Largest Rooster”, was the attraction of a Texas circus","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.9,3.9,13.0,Inches,5.02,Pounds,Ambient: Room Temperature,Shelf Life,730
"Robert Mondavi Private Selection Meritage, Red Wine, 750 mL Bottle","Robert Mondavi Private Selection was founded in 1994 by Robert Mondavi to capture the delicious flavors from California's best coastal vineyards. He inherently recognized the Central Coast's potential to produce phenomenal grapes - and, ultimately, wines of the utmost quality - at a more accessible price. They exude the fresh fruit character and bright acidity that can only come from a wine by the influence of the Pacific Ocean. This meritage has flavors dark plum, blackberry, black cherry, black currant, and black pepper. Aromas open with hints of mulling spice and dark chocolate. This red wine pairs well with grilled steak and stew.",13.5,Robert Mondavi Private Selection,147663,Wine,,,,"Robert Mondavi Private Selection Meritage, Red Wine, 750 mL bottle",Meritage Wine 750mL,"Robert Mondavi Private Selection Meritage, Red Wine - 750mL Bottle",Meritage Red Wine,Meritage Red Wine,750,mL,1,,Bottle,,,Robert Mondavi Private Selection was founded in 1994 by Robert Mondavi to capture the delicious flavors from California's best coastal vineyards. This red wine features dark juicy plum and cassis.,"Flavor of dark plum, blackberry, black cherry, black currant, and black pepper",Aromas open with hints of mulling spice and dark chocolate,Pairs well with grilled steak and stew,Delicious grapes give Robert Mondavi wines a distinctive character and intense flavor,Pure fruit flavors unique to California coastal vineyards,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.18,3.18,11.75,Inches,2.7800000000000002,Pounds,Ambient: Room Temperature,Shelf Life,730
"Robert Mondavi Winery Napa Valley Fume Blanc, White Wine, 750 mL Bottle","The unique geography and climate of the California coast are what allows Robert Mondavi Wines to grow a variety of grapes that give the wines their distinctive character and intense fruit flavor. The grapes soak up sun in the afternoon and are cooled by evening fog. They mature slowly, developing intense, pure fruit flavors unique to California coastal vineyards. Deliciously complex orange marmalade, honey, and marzipan flavors mix together with caramelized red apples, nuts, brown sugar, nougat, buttery crust, and a lively orange zest for an elaborate taste.",14.5,Robert Mondavi Winery,80023990,Wine,,,,"Robert Mondavi Winery Napa Valley Fume Blanc, White Wine, 750 mL bottle",Fume Blanc Wine 750mL,"Robert Mondavi Winery Napa Valley Fume Blanc, White Wine - 750mL Bottle",Napa Valley Fume Blanc White Wine,Napa Valley Fume Blanc White Wine,750,mL,1,,Bottle,,,,"Deliciously complex orange marmalade, honey, and marzipan flavors","With caramelized apples, nuts, brown sugar, nougat, crust, and an orange zest",Geography and climate of California produces grapes with an intense fruit flavor,Delicious grapes give Robert Mondavi wines a distinctive character and intense flavor,Pure fruit flavors unique to California coastal vineyards,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.26,3.26,11.77,Inches,3.21,Pounds,Ambient: Room Temperature,Shelf Life,1095
"Robert Mondavi Winery Napa Valley Pinot Noir, Red Wine, 750 mL Bottle","The unique geography and climate of the California coast are what allows Robert Mondavi Wines to grow a variety of delicious grapes that give the wines their distinctive character and intense fruit flavor. The grapes soak up sun in the afternoon and are cooled by evening fog. They mature slowly, developing intense, pure fruit flavors unique to California coastal vineyards. This wine’s silky texture carries the vibrantly intense red plum, dark cherry, and vanilla flavors gracefully into a long, fruit-filled finish.",14.5,Robert Mondavi Winery,80001425,Wine,,,,"Robert Mondavi Winery Napa Valley Pinot Noir, Red Wine, 750 mL bottle",Pinot Noir Wine 750mL,"Robert Mondavi Winery Napa Valley Pinot Noir, Red Wine - 750mL Bottle",Napa Valley Pinot Noir Red Wine,Napa Valley Pinot Noir Red Wine,750,mL,1,,Bottle,,,,"Silky texture, vibrantly intense red plum, dark cherry, and vanilla flavors","A long, fruit-filled finish",Geography and climate of California produces grapes with an intense fruit flavor,Delicious grapes give Robert Mondavi wines a distinctive character and intense flavor,Pure fruit flavors unique to California coastal vineyards,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.33,3.33,11.95,Inches,3.35,Pounds,Ambient: Room Temperature,Shelf Life,1095
"Ravenswood Vintners Blend Cabernet Sauvignon, Red Wine, 750 mL Bottle","Ravenswood strives to put what is picked from the fields right into the bottle. Capturing the spirit of the California appellation and the popular Vintners Blend bottlings sourced from vineyards throughout California. From Dry Creek north of Healdsburg, to the edge of the bay of the Carneros Valley, founder Joel Peterson has forged strong bonds with a cadre of grape growers who share Ravenswood's commitment and stubborn independence. Black currant and cassis on the nose, with spicy cherry on the palate with subtle tobacco notes, black cherry, and fresh herbs. Varietal: 100% cabernet sauvignon.",13.5,Ravenswood,131322,Wine,,Vintners Blend,,"Ravenswood Vintners Blend Cabernet Sauvignon, Red Wine, 750 mL bottle",Vintners Blend Cabernet Sauvignon Wine 750mL,"Ravenswood Vintners Blend Cabernet Sauvignon, Red Wine - 750mL Bottle",Vintners Blend Cabernet Sauvignon Red Wine,Vintners Blend Cabernet Sauvignon Red Wine,750,mL,1,,Bottle,,,,Black currant and cassis on the nose,"Spicy cherry on the palate with subtle tobacco notes, black cherry, and fresh herbs",Ravenswood strives to put what is picked from the fields right into the bottle,California appellation,Varietal: 100% cabernet sauvignon,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,2.95,2.95,11.88,Inches,2.8,Pounds,Ambient: Room Temperature,Shelf Life,730
