AltName02,ABV,ProductDesc01,Brand,ItemNumber,Type,,SubBrand,,AltName03,AltName04,AltName05,AltName06,AltName07,ItemSize,ItemSizeUom,CasePackQty,CasePackUom,Container,,,ProductDesc02,ProductBullet01,ProductBullet02,ProductBullet03,ProductBullet04,ProductBullet05,SurgeonGeneralWarning,ProductDisclaimerSparkling,HasProp65Ingredient,Prop65 text,ProductPlaceOfOrigin,CountryOfOrigin,SellingUnitWidth,SellingUnitDepth,SellingUnitHeight,DimensionUom,SellingUnitWeight,WeightUom,StorageTemperature,ExpirationType,ShelfLifeDays
"SVEDKA Blue Raspberry Vodka, 1 L Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. With a pure, clear taste and crisp finish, dive in and discover full, bright berry flavors ending with a hard citrus crank with this delicious blend. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Ideal for a Blue Heaven, SVEDKA Blue Raspberry has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80056959,Spirits,,,,"SVEDKA Blue Raspberry Vodka, 1 L bottle, 70 Proof",Blue Raspberry Vodka 1L,"SVEDKA Blue Raspberry Vodka - 1L Bottle, 70 Proof",Blue Raspberry Vodka,"Blue Raspberry Vodka, 70 Proof",1,L,1,,Bottle,,,SVEDKA is an award-winning vodka distilled five times to remove impurities. SVEDKA Blue Raspberry Vodka has berry flavors ending with a hard citrus crank. Ideal addition to countless cocktail recipes.,"Full, bright berry flavors ending with a hard citrus crank","Smooth and easy drinking with a subtle, rounded sweetness",Ideal for a Blue Heaven and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.42,3.42,11.73,Inches,3.8,Pounds,Ambient: Room Temperature,Shelf Life,1095
"SVEDKA Cucumber Lime Vodka, 750 mL Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. Enjoy the cool taste of cucumber with a bright, crisp burst of lime flavor in SVEDKA Cucumber Lime. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Cucumber got fresh with lime. Perfect for a Greenhouse or Greenhouse Mary, SVEDKA Cucumber Lime Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80031548,Spirits,,,,"SVEDKA Cucumber Lime Vodka, 750 mL bottle, 70 Proof",Cucumber Lime Vodka 750mL,"SVEDKA Cucumber Lime Vodka - 750mL Bottle, 70 Proof",Cucumber Lime Vodka,"Cucumber Lime Vodka, 70 Proof",750,mL,1,,Bottle,,,"SVEDKA is an award-winning vodka distilled five times to remove impurities. Enjoy the cool taste of cucumber with a bright, crisp burst of lime flavor in SVEDKA Cucumber Lime Vodka.","Cool taste of cucumber with a bright, crisp burst of lime flavor","Smooth and easy drinking with a subtle, rounded sweetness","Perfect for a Greenhouse, Greenhouse Mary and countless cocktail recipes",Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.09,3.09,10.96,Inches,2.85,Pounds,Ambient: Room Temperature,Shelf Life,1095
"SVEDKA Clementine Vodka, 750 mL Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. Make a bold statement with this vodka infused with all-natural orange flavors. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Perfect for a Bloody Sunrise, SVEDKA Clementine Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80023370,Spirits,,,,"SVEDKA Clementine Vodka, 750 mL bottle, 70 Proof",Clementine Vodka 750mL,"SVEDKA Clementine Vodka - 750mL Bottle, 70 Proof",Clementine Vodka,"Clementine Vodka, 70 Proof",750,mL,1,,Bottle,,,SVEDKA is an award-winning vodka distilled five times to remove impurities. SVEDKA Clementine Vodka is infused with all-natural orange flavors. Ideal addition to countless cocktail recipes.,Infused with all-natural orange flavors,"Smooth and easy drinking with a subtle, rounded sweetness",Perfect for a Bloody Sunrise and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.09,3.09,10.96,Inches,2.85,Pounds,Ambient: Room Temperature,Shelf Life,9999
"SVEDKA Mango Pineapple Vodka, 1 L Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. Get an island beat for the city street with this tropical blend of ripe Filipino mango and juicy pineapple flavors. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Ideal for a Mai Tai, SVEDKA Mango Pineapple Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80020691,Spirits,,,,"SVEDKA Mango Pineapple Vodka, 1 L bottle, 70 Proof",Mango Pineapple Vodka 1L,"SVEDKA Mango Pineapple Vodka - 1L Bottle, 70 Proof",Mango Pineapple Vodka,"Mango Pineapple Vodka, 70 Proof",1,L,1,,Bottle,,,SVEDKA is an award-winning vodka distilled five times to remove impurities. SVEDKA Mango Pineapple Vodka has a tropical blend of ripe Filipino mango and juicy pineapple flavors.,Tropical blend of ripe Filipino mango and juicy pineapple flavors,"Smooth and easy drinking with a subtle, rounded sweetness",Ideal for a Mai Tai and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.42,3.42,11.73,Inches,3.8,Pounds,Ambient: Room Temperature,Shelf Life,1095
"SVEDKA Strawberry Lemonade Vodka, 1 L Bottle, 70 Proof",35,"SVEDKA is an award-winning vodka with a pure, clear taste and crisp finish made from the finest spring water and Swedish winter wheat, then distilled five times to remove impurities. Continuous distillation ensures that ingredients are constantly moving so the winter wheat, yeast, and water never stall or pool. Splash into flavor with a bright blend of lemonade and sweet wild strawberry flavors with SVEDKA Strawberry Lemonade. It is smooth and easy drinking with a subtle, rounded sweetness that makes it perfect for mixing cocktails. Ideal for a Cosmopolitan, SVEDKA Strawberry Lemonade Vodka has a balanced body that is an ideal addition to countless cocktail recipes.",SVEDKA,80020681,Spirits,,,,"SVEDKA Strawberry Lemonade Vodka, 1 L bottle, 70 Proof",Strawberry Lemonade Vodka 1L,"SVEDKA Strawberry Lemonade Vodka - 1L Bottle, 70 Proof",Strawberry Lemonade Vodka,"Strawberry Lemonade Vodka, 70 Proof",1,L,1,,Bottle,,,SVEDKA is an award-winning vodka distilled five times to remove impurities. Splash into flavor with a bright blend of lemonade and sweet wild strawberry flavors with SVEDKA Strawberry Lemonade Vodka.,Bright blend of lemonade and sweet wild strawberry flavors,"Smooth and easy drinking with a subtle, rounded sweetness",Ideal for a Cosmopolitan and countless cocktail recipes,Made from the finest spring water and Swedish winter wheat,Distilled five times to remove impurities,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,Sweden,Sweden,3.42,3.42,11.73,Inches,3.8,Pounds,Ambient: Room Temperature,Shelf Life,1095
"Paul Masson Grande Amber Mango Brandy, 200 mL Bottle, 54 Proof",27,"Aged in oak barrels, Paul Masson Brandy is an award-winning favorite with a rich amber glow and slightly sweet taste profile. Grande Amber Mango is a delectable fusion of smooth-tasting Paul Masson brandy and the flavor of fresh, juicy golden mangoes with soft, tropical floral notes. Crafted with over 100 years of knowledge, from the oak-aging process to the care in selecting only the finest grapes, Grande Amber upholds the illustrious heritage of Paul Masson. The additional aging results in a greater overall brandy character and complexity than traditional brandies. Ideal for a Mango Colada, it has a balanced body that is a perfect addition to countless cocktail recipes.",Paul Masson Grande Amber,80056960,Spirits,,,,"Paul Masson Grande Amber Mango Brandy, 200 mL bottle, 54 Proof",Mango Brandy 200mL,"Paul Masson Grande Amber Mango Brandy - 200mL Bottle, 54 Proof",Mango Brandy,"Mango Brandy, 54 Proof",200,mL,1,,Bottle,,,"Paul Masson Grande Amber Mango Brandy has flavors of fresh, juicy golden mangos with soft, tropical floral notes. It has a balanced body that is a perfect addition to countless cocktail recipes.","Fresh, juicy golden mango with soft, tropical floral notes",A rich amber glow and slightly sweet taste profile,Ideal for a Mango Colada and perfect addition to cocktail recipes,Oak-aging and only the finest grapes,Crafted with over 100 years of knowledge,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.13,1.43,6.28,Inches,1.06,Pounds,Ambient: Room Temperature,Shelf Life,720
"Paul Masson Grande Amber Mango Brandy, 1.75 L Bottle, 54 Proof",27,"Aged in oak barrels, Paul Masson Brandy is an award-winning favorite with a rich amber glow and slightly sweet taste profile. Grande Amber Mango is a delectable fusion of smooth-tasting Paul Masson brandy and the flavor of fresh, juicy golden mangoes with soft, tropical floral notes. Crafted with over 100 years of knowledge, from the oak-aging process to the care in selecting only the finest grapes, Grande Amber upholds the illustrious heritage of Paul Masson. The additional aging results in a greater overall brandy character and complexity than traditional brandies. Ideal for a Mango Colada, it has a balanced body that is a perfect addition to countless cocktail recipes.",Paul Masson Grande Amber,80056964,Spirits,,,,"Paul Masson Grande Amber Mango Brandy, 1.75 L bottle, 54 Proof",Mango Brandy 1.75L,"Paul Masson Grande Amber Mango Brandy - 1.75L Bottle, 54 Proof",Mango Brandy,"Mango Brandy, 54 Proof",1.75,L,1,,Bottle,,,"Paul Masson Grande Amber Mango Brandy has flavors of fresh, juicy golden mangos with soft, tropical floral notes. It has a balanced body that is a perfect addition to countless cocktail recipes.","Fresh, juicy golden mango with soft, tropical floral notes",A rich amber glow and slightly sweet taste profile,Ideal for a Mango Colada and perfect addition to cocktail recipes,Oak-aging and only the finest grapes,Crafted with over 100 years of knowledge,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,4.75,4.75,13.13,Inches,6.43,Pounds,Ambient: Room Temperature,Shelf Life,720
"Paul Masson Grande Amber Mango Brandy, 50 mL Bottle, 54 Proof",27,"Aged in oak barrels, Paul Masson Brandy is an award-winning favorite with a rich amber glow and slightly sweet taste profile. Grande Amber Mango is a delectable fusion of smooth-tasting Paul Masson brandy and the flavor of fresh, juicy golden mangoes with soft, tropical floral notes. Crafted with over 100 years of knowledge, from the oak-aging process to the care in selecting only the finest grapes, Grande Amber upholds the illustrious heritage of Paul Masson. The additional aging results in a greater overall brandy character and complexity than traditional brandies. Ideal for a Mango Colada, it has a balanced body that is a perfect addition to countless cocktail recipes.",Paul Masson Grande Amber,80056955,Spirits,,,,"Paul Masson Grande Amber Mango Brandy, 50 mL bottle, 54 Proof",Mango Brandy 50mL,"Paul Masson Grande Amber Mango Brandy - 50mL Bottle, 54 Proof",Mango Brandy,"Mango Brandy, 54 Proof",50,mL,1,,Bottle,,,"Paul Masson Grande Amber Mango Brandy has flavors of fresh, juicy golden mangos with soft, tropical floral notes. It has a balanced body that is a perfect addition to countless cocktail recipes.","Fresh, juicy golden mango with soft, tropical floral notes",A rich amber glow and slightly sweet taste profile,Ideal for a Mango Colada and perfect addition to cocktail recipes,Oak-aging and only the finest grapes,Crafted with over 100 years of knowledge,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,1.28,1.28,4.18,Inches,0.15,Pounds,Ambient: Room Temperature,Shelf Life,730
"Paul Masson Grande Amber Mango Brandy, 750 mL Bottle, 54 Proof",27,"Aged in oak barrels, Paul Masson Brandy is an award-winning favorite with a rich amber glow and slightly sweet taste profile. Grande Amber Mango is a delectable fusion of smooth-tasting Paul Masson brandy and the flavor of fresh, juicy golden mangoes with soft, tropical floral notes. Crafted with over 100 years of knowledge, from the oak-aging process to the care in selecting only the finest grapes, Grande Amber upholds the illustrious heritage of Paul Masson. The additional aging results in a greater overall brandy character and complexity than traditional brandies. Ideal for a Mango Colada, it has a balanced body that is a perfect addition to countless cocktail recipes.",Paul Masson Grande Amber,80056956,Spirits,,,,"Paul Masson Grande Amber Mango Brandy, 750 mL bottle, 54 Proof",Mango Brandy 750mL,"Paul Masson Grande Amber Mango Brandy - 750mL Bottle, 54 Proof",Mango Brandy,"Mango Brandy, 54 Proof",750,mL,1,,Bottle,,,"Paul Masson Grande Amber Mango Brandy has flavors of fresh, juicy golden mangos with soft, tropical floral notes. It has a balanced body that is a perfect addition to countless cocktail recipes.","Fresh, juicy golden mango with soft, tropical floral notes",A rich amber glow and slightly sweet taste profile,Ideal for a Mango Colada and perfect addition to cocktail recipes,Oak-aging and only the finest grapes,Crafted with over 100 years of knowledge,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,5.06,3.31,8.69,Inches,3.16,Pounds,Ambient: Room Temperature,Shelf Life,720
"Paul Masson Grande Amber Mango Brandy, 375 mL Bottle, 54 Proof",27,"Aged in oak barrels, Paul Masson Brandy is an award-winning favorite with a rich amber glow and slightly sweet taste profile. Grande Amber Mango is a delectable fusion of smooth-tasting Paul Masson brandy and the flavor of fresh, juicy golden mangoes with soft, tropical floral notes. Crafted with over 100 years of knowledge, from the oak-aging process to the care in selecting only the finest grapes, Grande Amber upholds the illustrious heritage of Paul Masson. The additional aging results in a greater overall brandy character and complexity than traditional brandies. Ideal for a Mango Colada, it has a balanced body that is a perfect addition to countless cocktail recipes.",Paul Masson Grande Amber,80056962,Spirits,,,,"Paul Masson Grande Amber Mango Brandy, 375 mL bottle, 54 Proof",Mango Brandy 375mL,"Paul Masson Grande Amber Mango Brandy - 375mL Bottle, 54 Proof",Mango Brandy,"Mango Brandy, 54 Proof",375,mL,1,,Bottle,,,"Paul Masson Grande Amber Mango Brandy has flavors of fresh, juicy golden mangos with soft, tropical floral notes. It has a balanced body that is a perfect addition to countless cocktail recipes.","Fresh, juicy golden mango with soft, tropical floral notes",A rich amber glow and slightly sweet taste profile,Ideal for a Mango Colada and perfect addition to cocktail recipes,Oak-aging and only the finest grapes,Crafted with over 100 years of knowledge,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,,California,United States,3.8,3.8,7.34,Inches,1.81,Pounds,Ambient: Room Temperature,Shelf Life,720
